Symbol,Trade DATE,NOCP
COST,2018-06-12,204.88
COST,2018-06-11,204.5
COST,2018-06-08,203.76
COST,2018-06-07,202.57
COST,2018-06-06,197.66
COST,2018-06-05,197.84
COST,2018-06-04,198.62
COST,2018-06-01,197.13
COST,2018-05-31,198.24
COST,2018-05-30,199.64
COST,2018-05-29,196.74
COST,2018-05-25,198.36
COST,2018-05-24,198.89
COST,2018-05-23,198.14
COST,2018-05-22,198.97
COST,2018-05-21,199.62
COST,2018-05-18,198.96
COST,2018-05-17,199.6
COST,2018-05-16,198.71
COST,2018-05-15,195.48
COST,2018-05-14,195.88
COST,2018-05-11,195.76
